ID,Feature,Area,Route,User Story,Expected Behaviour,Status,Test Result,Errors Found,Fix Applied,Re-test Result
STUDY-05,Generate Study Guide,Study,/study-guide,"As a student, I want to generate an AI-powered study guide for any topic, so that I can get structured review material","SubjectSelect + topic Input. POST /api/engine/study-guide. Returns sections with content + keyPoints + summary. Animated section entrance. 'Practice these topics' + 'Generate flashcards' buttons on result.","Implemented","pending","","",""
SOLVE-01,Ask AI Solver,Solve,/solve,"As a student, I want to type a question and get an AI-generated solution, so that I can understand problems I'm stuck on","AiSolver component with text input. Calls POST /api/solve. Shows step-by-step solution with solver-result-view.","Implemented","pending","","",""
SOLVE-02,Snap Photo of Question,Solve,/solve,"As a student, I want to take a photo of a homework question, so that I can get it solved without typing","SnapFab floating button opens snap-dialog. Camera capture via getUserMedia. OCR extraction via tesseract.js or API.","Implemented","pending","","",""
SOLVE-03,Solver RAG Sources,Solve,/solve,"As a student, I want to see web sources used by the AI solver, so that I can verify the answer","VerifiedByPill collapsible component in solver-result-view. Shows CheckmarkCircle01Icon + ArrowDown01Icon + LinkSquare01Icon. Hidden when sources empty.","Implemented","pending","","",""
SOLVE-04,Solver Follow-up,Solve,/solve,"As a student, I want to ask follow-up questions on a solution, so that I can clarify doubts","Follow-up input below solution. Skips RAG for follow-ups (followUp===true check).","Implemented","pending","","",""
CHAT-01,Chat with AI Assistant,Chat,/chat,"As a student, I want to chat with an AI study assistant, so that I can get help with my studies","ChatPage renders chat UI with MessageBubble, ChatInput, WelcomeState. useChat hook manages message history. Messages scroll smoothly.","Implemented","pending","","",""
CHAT-02,Image Chat Input,Chat,/chat,"As a student, I want to send images in chat, so that I can ask about visual problems","useImageChatWithSend hook handles image processing. ChatInput has image upload button. Shows processing state.","Implemented","pending","","",""
CHAT-03,Personalised Chat Context,Chat,/chat,"As a student, I want the AI to know my progress and suggest relevant content, so that chat is personalised","chat.hasContext flag determines if context badge shown (StarsIcon 'Personalised to your progress').","Implemented","pending","","",""
SEARCH-01,Unified Search,Search,/search,"As a student, I want to search across all my content (questions, wrong answers, flashcards, notes), so that I can find anything quickly","SearchClient renders SearchWidget + SearchResults. Uses chunked-search: parallel Dexie queries with 500ms timeout. Results scored by relevance (exact > prefix > substring), max 50.","Implemented","pending","","",""
BOOKMARKS-01,View Bookmarks,Bookmarks,/bookmarks,"As a student, I want to view all my bookmarked questions, so that I can review them later","BookmarksClient reads from Dexie bookmarks table. Displays list with subject/topic filters.","Implemented","pending","","",""
REVIEW-01,Wrong Answer Journal,Review,/review,"As a student, I want to review my wrong answers with filters, so that I can learn from my mistakes","ReviewClient shows wrong answer journal. Subject/topic filters. Error type categorization (6 types). Each entry shows question, user answer, correct answer.","Implemented","pending","","",""
REVIEW-02,Practice from Review,Review,/review,"As a student, I want to practice topics I got wrong, so that I can improve","'Practice these topics' button links to /quiz with subject + topic params from wrong answer entry.","Implemented","pending","","",""
PROBLEMS-01,Browse Problem Library,Problems,/problems,"As a student, I want to browse a library of practice problems, so that I can find problems to work on","ProblemsClient shows login gate if unauthenticated (LockIcon + Create Account/Sign In buttons). When authenticated: lists curated problems with step-by-step solutions.","Implemented","pending","","",""
STORIES-01,Browse Stories,Stories,/stories,"As a student, I want to browse stories by language/subject, so that I can practice reading comprehension","StoriesClient lists stories in grid layout (responsive: 1/2/3 columns).","Implemented","pending","","",""
STORIES-02,Read Story,Stories,/stories/[storyId],"As a student, I want to read a story with comprehension questions, so that I can practice reading skills","Story reader page renders story content + follow-up questions. Progress tracked via storyProgress table.","Implemented","pending","","",""
PRONUNCIATION-01,Pronunciation Practice,Pronunciation,/pronunciation,"As a student, I want to practice pronunciation with speech recognition feedback, so that I can improve my speaking","PronunciationClient uses Web Speech API (SpeechRecognition). Shows word/phrase. Listens to user speech. Provides correctness feedback.","Implemented","pending","","",""
DICT-01,Dictionary Lookup,Dictionary,/dictionary,"As a student, I want to look up word definitions, so that I can understand unfamiliar terms","DictionaryClient provides search input. Fetches definitions. Shows pronunciation, example, save-to-vocabulary option.","Implemented","pending","","",""
DICT-02,Save Vocabulary,Dictionary,/dictionary,"As a student, I want to save words to my vocabulary list, so that I can review them later","Save button on each definition entry. Persists to Dexie.","Implemented","pending","","",""
GROUPS-01,Browse Study Groups,Groups,/study-groups,"As a student, I want to browse study groups, so that I can find groups to join","StudyGroupsList shows list of available groups. Each group card shows name, member count, description.","Implemented","pending","","",""
GROUPS-02,Study Group Detail,Groups,/study-groups/[groupId],"As a student, I want to view a study group and see posts, so that I can participate in the group","Group detail page shows posts feed. Post creation input. Each post has comment/reaction capabilities.","Implemented","pending","","",""
GROUPS-03,Post Comment in Group,Groups,/study-groups/[groupId],"As a student, I want to comment on a study group post, so that I can discuss with peers","Comment input under each post. POST /api/study-groups/posts/[postId]/comments.","Implemented","pending","","",""
GROUPS-04,React to Post,Groups,/study-groups/[groupId],"As a student, I want to react to a study group post (like/helpful/etc), so that I can show appreciation","Reaction buttons on posts. Emoji reactions. Tracks via useGroupReactions hook.","Implemented","pending","","",""
GROUPS-05,Group Leaderboard,Groups,/study-groups/leaderboard,"As a student, I want to see the group leaderboard, so that I can see how groups rank","LeaderboardPage fetches /api/study-groups/leaderboard. Renders ranked list with medal icons for top 3. Links to group detail. Auto-refreshes every 60s.","Implemented","pending","","",""
GROUPS-06,Live Study Session,Groups,/study-groups/[groupId],"As a student, I want to join a live study session, so that I can study in real-time with my group","LiveSessionBar component. 15s polling via useLiveSession hook. Appwrite-based real-time.","Implemented","pending","","",""
TEACH-01,Teacher Dashboard,Teacher,/teacher,"As a teacher, I want to see my class overview, so that I can manage my students","TeacherDashboardClient shows class summary, recent assignments, student list.","Implemented","pending","","",""
TEACH-02,Student Report,Teacher,/teacher/report/[studentId],"As a teacher, I want to view a student's detailed report, so that I can assess their progress","Fetches from GET /api/teacher/students/[studentId]/report. Shows actual student data across devices (Appwrite-backed).","Implemented","pending","","",""
TEACH-03,Create Assignment,Teacher,/teacher,"As a teacher, I want to create assignments for my students, so that I can assess their understanding","Assignment creation form with subject, topic, question count, deadline. POST /api/assignments.","Implemented","pending","","",""
TEACH-04,Grade Submission,Teacher,/teacher,"As a teacher, I want to auto-grade student submissions and add comments, so that I can provide feedback","POST /api/assignments/[id]/submit for auto-grade. Teacher comment API for manual feedback.","Implemented","pending","","",""
TEACH-05,Teacher Observations,Teacher,/teacher,"As a teacher, I want to record observations about students, so that I can track non-academic progress","ObservationTimeline component. Persisted to Dexie teacherObservations (v30).","Implemented","pending","","",""
TEACH-06,Ghost Links,Teacher,/teacher,"As a teacher, I want to generate ghost links to share student dashboards, so that parents can see progress","Ghost link generation UI. POST /api/teacher/ghost-link. 30-day expiry. Ghost dashboard at /ghost/[token].","Implemented","pending","","",""
TEACH-07,Share Assignment,Teacher,/teacher,"As a teacher, I want to share an assignment via link, so that students can access it","Share link with 7-day expiry. POST /api/teacher/share-assignment. Public view at /shared/assignment/[shareId].","Implemented","pending","","",""
TEACH-08,Weekly Digest Push,Teacher,/teacher,"As a teacher, I want to send a weekly digest notification to parents, so that they stay informed about student progress","POST /api/cron/weekly-digest (admin-protected). Computes total quizzes, avg score, top 3 subjects. Sends web push to all subscribers via web-push.","Implemented","pending","","",""
PARENT-01,Parent Dashboard,Parent,/parent,"As a parent, I want to see my child's study progress, so that I can monitor their learning","ParentDashboardPage uses RoleGate. Shows children list. ChildSelector dropdown. ChildProgressGrid with per-subject scores. ActivityTimeline. WeeklyReportPanel.","Implemented","pending","","",""
PARENT-02,Consent Management,Parent,/parent,"As a parent, I want to grant/revoke access to my child's data, so that I control privacy","ConsentGate component shows consent status. Grant/revoke via POST/DELETE /api/parent/consent. ConsentMutation updates accordingly.","Implemented","pending","","",""
PARENT-03,Link Child Account,Parent,/parent,"As a parent, I want to link my child's account to mine, so that I can view their progress","ParentInvitationDialog sends invitation. On send: calls POST /api/parent/consent. Shows instructions for child to share User ID.","Implemented","pending","","",""
PARENT-04,Weekly Report,Parent,/parent,"As a parent, I want to see a weekly report of my child's study activity, so that I can track trends","WeeklyReportPanel shows subjects, total minutes, quizzes completed, streak days. Subject scores derived from actual data (not hash-based random).","Implemented","pending","","",""
SETT-01,Profile Settings,Settings,/settings,"As a user, I want to edit my profile (name/email/password), so that I can keep my account up to date","SettingsClient with profile tab. Name/email/password edit forms.","Implemented","pending","","",""
SETT-02,Notification Settings,Settings,/settings,"As a user, I want to manage my notification preferences, so that I control what I receive","Notification settings tab. Toggles for daily digest, push notifications, in-app notifications.","Implemented","pending","","",""
SETT-03,Theme Toggle,Settings,/settings,"As a user, I want to switch between light and dark mode, so that I can study comfortably","Theme toggle switch. ThemeProvider syncs theme-color meta tag dynamically. Reads resolved --system-background via getComputedStyle.","Implemented","pending","","",""
SETT-04,Language/Locale Settings,Settings,/settings,"As a user, I want to change the app language, so that I can use Lumni in my preferred language","Locale switcher in settings. Supports en, af (Afrikaans), zu (Zulu). i18n checked via scripts/check-translations.ts.","Implemented","pending","","",""
SETT-05,Data Sharing Consent,Settings,/settings,"As a user, I want to control data sharing for AI features, so that I can protect my privacy","Consent toggle in Data tab. Reused by consent/ai-gate.ts for RAG and TinyFish features.","Implemented","pending","","",""
SETT-06,Export Progress,Settings,/settings,"As a user, I want to export my study progress data, so that I can keep a personal record","Export button generates HTML/CSS export. Progress export component.","Implemented","pending","","",""
SETT-07,Restart Onboarding,Settings,/settings,"As a user, I want to restart the onboarding wizard, so that I can re-set my preferences","Restart button in Settings > Data tab. Clears onboarding state from Dexie.","Implemented","pending","","",""
SETT-08,ARIA Tab Settings,Settings,/settings,"As a screen reader user, I want settings tabs to use proper ARIA tab pattern, so that navigation is accessible","SettingsClient uses role='tabpanel', aria-labelledby, aria-controls for tab panels.","Implemented","pending","","",""
PREMIUM-01,Premium Info Page,Premium,/premium,"As a user, I want to learn about premium features, so that I can decide whether to upgrade","PremiumClient shows feature comparison. All features are free (premium gating removed). Page describes available features.","Implemented","pending","","",""
SUPPORT-01,Contact Support,Support,/support,"As a user, I want to access support channels, so that I can get help when I need it","SupportPage lists 3 channels: Email (mailto:support@lumni.app), In-App Chat (/chat), Knowledge Base (https://help.lumni.app). Each with icon + priority description.","Implemented","pending","","",""
LEGAL-01,Terms of Service,Legal,/terms,"As a user, I want to read the Terms of Service, so that I understand the rules","Static terms page.","Implemented","pending","","",""
LEGAL-02,Privacy Policy,Legal,/privacy,"As a user, I want to read the Privacy Policy, so that I understand how my data is handled","Static privacy page.","Implemented","pending","","",""
LEGAL-03,Cookie Policy,Legal,/cookie-policy,"As a user, I want to read the Cookie Policy, so that I understand cookie usage","Static cookie policy page. Cookie banner on first visit.","Implemented","pending","","",""
SHARED-01,Public Question View,Shared,/q/[id],"As anyone with a link, I want to view a shared question, so that I can see and rate the question","SharedQuestionClient shows question text + answer with 5-star gating. VerifiedByPill for sources. View counting.","Implemented","pending","","",""
SHARED-02,Shared Assignment View,Shared,/shared/assignment/[shareId],"As a student, I want to view a shared assignment, so that I can access teacher-assigned work","Shared assignment page. Reads from sharedQuestions Dexie table. Shows assignment details and questions.","Implemented","pending","","",""
SHARED-03,Shared Deck View,Shared,/shared/deck/[shareId],"As anyone with a link, I want to view a shared flashcard deck, so that I can study shared cards","Shared deck page. Shows flashcard deck with read-only cards.","Implemented","pending","","",""
SHARED-04,Ghost Dashboard,Shared,/ghost/[token],"As a parent/teacher with a token, I want to view a temporary student dashboard, so that I can see progress","Ghost dashboard reads student data via Appwrite query. 30-day expiry.","Implemented","pending","","",""
OFFLINE-01,Offline Landing Page,Offline,/offline,"As a student without internet, I want to see what's available offline, so that I can keep studying","OfflinePage shows offline status indicator, quick actions (Practice Offline, Review Flashcards), recently read stories, available quiz packs.","Implemented","pending","","",""
OFFLINE-02,Offline Quiz Packs Manager,Offline,N/A (component),"As a student, I want to manage downloaded offline quiz packs, so that I can study without internet","OfflinePackManager in dashboard. Subject selector. Pack list with status badges (generating/ready/error). Storage progress bar. Uses QuizPackService + Dexie quizPacks/packQuestions tables.","Implemented","pending","","",""
OFFLINE-03,Cached Stories Offline,Offline,/offline,"As a student without internet, I want to read cached stories, so that I can continue reading offline","storyCache Dexie table stores story content. Offline page shows recently read story titles with links to /stories/[id].","Implemented","pending","","",""
ADMIN-01,Admin Dashboard,Admin,/admin,"As an admin, I want to see an overview of system stats, so that I can monitor the platform","Admin dashboard page with summary cards.","Implemented","pending","","",""
ADMIN-02,Admin Analytics,Admin,/admin/analytics,"As an admin, I want to view analytics charts and trends, so that I can understand usage patterns","Analytics dashboard with charts (DAU/WAU from analyticsEvents Dexie table). Cost summary chart per-LLM-provider.","Implemented","pending","","",""
ADMIN-03,Admin User Management,Admin,/admin/users,"As an admin, I want to manage users, so that I can handle accounts","User list with search/filter. Ban/delete/role-change actions.","Implemented","pending","","",""
ADMIN-04,Admin Questions,Admin,/admin/questions,"As an admin, I want to moderate questions, so that I can ensure quality","Question list with filters. Editable fields. Delete option.","Implemented","pending","","",""
ADMIN-05,Admin Quality Ratings,Admin,/admin/quality,"As an admin, I want to see question quality ratings, so that I can assess content quality","QuestionRatingsDashboard with bar chart (1-5 star distribution). Dynamically imported BarChartComponent.","Implemented","pending","","",""
ADMIN-06,Admin Content,Admin,/admin/content,"As an admin, I want to manage content items, so that I can curate the platform","Content management interface. CRUD operations for educational content.","Implemented","pending","","",""
ADMIN-07,Admin Budget/Costs,Admin,/admin/budget,"As an admin, I want to see AI cost tracking, so that I can manage the budget","Budget dashboard with per-provider cost config and estimatedCost in AILatencyRecord. Cost summary chart.","Implemented","pending","","",""
ADMIN-08,Admin Notifications,Admin,/admin/notifications,"As an admin, I want to send notifications to users, so that I can communicate updates","Notification sending interface. Target by user/group/all.","Implemented","pending","","",""
ADMIN-09,Admin Observability,Admin,/admin/observability,"As an admin, I want to view system observability data, so that I can monitor health","Observability dashboard with AI latency records, error rates, job queue status. analyticsEvents table tracking.","Implemented","pending","","",""
ADMIN-10,Admin Past Papers,Admin,/admin/past-papers,"As an admin, I want to manage past exam papers, so that I can curate the exam library","Past paper management. CRUD for exam papers. Upload new papers.","Implemented","pending","","",""
ADMIN-11,Admin Gamification,Admin,/admin/gamification,"As an admin, I want to manage gamification settings, so that I can adjust rewards","Gamification settings dashboard. Modify XP multipliers, achievement criteria.","Implemented","pending","","",""
ADMIN-12,Admin Embed Backfill,Admin,/admin/embed-backfill,"As an admin, I want to backfill question embeddings, so that semantic search works for all questions","Embed backfill page with progress indicator. Triggers script to generate embeddings for all questions.","Implemented","pending","","",""
DEV-01,Engine Dev Playground,Dev,/dev/engine,"As a developer, I want to test the question engine (generate/grade/hint), so that I can validate the API","DevEnginePage with form fields (subject, topic, count, questionType). Generate button calls POST /api/engine/generate. Shows raw JSON response. Test Grade button per question calls POST /api/engine/grade.","Implemented","pending","","",""
DEV-02,Visual Dev Playground,Dev,/dev/visual,"As a developer, I want to test the visual engine, so that I can see diagram generation","Visual engine test page generating diagrams for questions.","Implemented","pending","","",""
DEV-03,Test Links Page,Dev,/dev/test-links,"As a developer, I want to see all test routes, so that I can quickly navigate to dev tools","List of links to all dev/testing pages.","Implemented","pending","","",""
NAV-01,Desktop Sidebar,Nav,N/A (global),"As a user on desktop, I want a categorized sidebar navigation, so that I can quickly access any area","DesktopSidebar shows categorized nav (Study, Practice, Tools, Social, Account categories). Page search/filter input. SidebarStateProvider for open/close. SidebarHamburger.","Implemented","pending","","",""
NAV-02,Bottom Nav (Mobile),Nav,N/A (global),"As a user on mobile, I want bottom navigation tabs, so that I can easily navigate one-handed","BottomNav shows icon tabs for key routes. Active state highlight.","Implemented","pending","","",""
